id,name,aka,city,lat,lng,cause_areas,tier,org_type,founded,key_people,website,careers_url,funding,description,remote_note,confidence,verify,sources,relationships,country
pour-demain,Pour Demain (Brussels office),,Brussels,50.844,4.369,AI safety & governance; Biosecurity & pandemic preparedness,2,think_tank,2020,,https://www.pourdemain.ngo/en,,Philanthropic,Swiss-origin policy think tank working on AI and biosecurity risk reduction; listed as a Talos placement host in Brussels. Belgian office details unverified this round.,,medium,"Brussels office address confirmed (Avenue des Arts/Kunstlaan 44, 1040); Belgian legal-entity form and Brussels staff names still unverified; founding year still to confirm",https://forum.effectivealtruism.org/posts/CsBGdHTLmxQnbaSap; https://www.pourdemain.ngo/en,talos:hosts_fellows,BE
eu-ai-office,European AI Office (European Commission),EU AI Office,Brussels,50.8446,4.382,AI safety & governance,3,institution,2024,,https://digital-strategy.ec.europa.eu/en/policies/ai-office,https://digital-strategy.ec.europa.eu/en/news/job-opportunities-european-ai-office,EU budget,"Commission body governing AI in Europe, incl. an AI Safety unit enforcing the GPAI rules of the AI Act; featured on the 80,000 Hours job board — the highest-leverage AI-governance employer physically in Brussels.",,high,Confirm which units hire for safety-relevant roles and current vacancy routes,https://jobs.80000hours.org/organisations/european-union-ai-office,,BE
proveg-belgium,ProVeg Belgium,"EVA vzw (Ethisch Vegetarisch Alternatief), founded 2000",Ghent,51.05,3.73,Animal welfare & food systems,1,ngo,2000,"Tobias Leenaert (co-founder EVA & ProVeg International, self-identified EA, Ghent-based); director post-2015 to verify",https://proveg.org/be/,https://proveg.org/jobs/,First veg org worldwide with structural national government funding (2005); part of ProVeg International,"Ghent-born food-awareness NGO (as EVA it launched the world-first official weekly veggie day in Ghent, 2009); now the Belgian branch of ProVeg International, which aims to cut global animal consumption 50% by 2040.",,high,Current Belgian director; office address,https://en.wikipedia.org/wiki/Tobias_Leenaert; https://veganstrategist.org/over/,sma:same_ecosystem; ceva:shared_founder,BE
gfi-europe,Good Food Institute Europe (Belgian entity),GFI Europe,Brussels,50.841,4.364,Animal welfare & food systems; Climate; Biosecurity & pandemic preparedness,1,think_tank,2019,"Alex Holst (senior policy role, spoke at EA Summit Brussels; exact title to verify)",https://gfieurope.org,https://gfieurope.org/careers/,"100% philanthropy incl. Coefficient Giving (ex-Open Philanthropy branding), Quadrature Climate Foundation; GFI globally received $16.5M+ from Open Philanthropy","Think tank/NGO advancing plant-based, cultivated and fermentation-made foods across Europe; registered Belgian entity in the EU lobby register; a Founders Pledge-recommended charity.",,high,Founding year of the Belgian entity; Alex Holst's exact title,https://gfieurope.org/about/; https://www.lobbyfacts.eu/datacard/the-good-food-institute-europe-belgium; https://forum.effectivealtruism.org/topics/good-food-institute,,BE
eurogroup-animals,Eurogroup for Animals,,Brussels (Rue Ducale),50.8455,4.366,Animal welfare & food systems,2,ngo,1980,,https://www.eurogroupforanimals.org,https://www.eurogroupforanimals.org/vacancies,"Member orgs, foundations; received a (small) Open Philanthropy grant for broiler welfare coordination (2017)","Pan-EU animal-protection lobby federation, one of Brussels' longest-established lobby groups; not EA-identified, but a central node for EU farm-animal-welfare campaigns EAs care about.",,high,Current CEO name,https://en.wikipedia.org/wiki/Eurogroup_for_Animals; http://www.goodventures.org/our-portfolio/grants/eurogroup-for-animals-broiler-chicken-welfare-campaign,ciwf-eu:has_member,BE
ciwf-eu,Compassion in World Farming EU,CIWF EU,Brussels,50.8475,4.361,Animal welfare & food systems,3,ngo,,,https://www.ciwf.eu,,CIWF globally has received Open Philanthropy farm-animal-welfare funding (verify for EU entity),"EU advocacy office of Compassion in World Farming, campaigning against factory farming (e.g. End the Cage Age ECI). Brussels office existence is well known but was not verified this round.",,medium,Brussels address; whether the EU entity itself received EA-aligned funding,https://en.wikipedia.org/wiki/Eurogroup_for_Animals,eurogroup-animals:member_of,BE
ceva,Center for Effective Vegan Advocacy,CEVA,Ghent-linked (Leenaert); largely virtual,51.06,3.71,Animal welfare & food systems; Careers & talent,1,talent_program,2016,Tobias Leenaert & Melanie Joy (co-founders),https://veganadvocacy.org,,,"Gives effectiveness-focused training to animal advocates worldwide; 'effective' is in the name and approach, and co-founder Leenaert is Ghent-based, but it is a small programme (under Beyond Carnism), not a Belgian employer.",,medium,Current activity level; organisational home,https://en.wikipedia.org/wiki/Tobias_Leenaert,proveg-belgium:shared_founder,BE
probably-good,Probably Good,,Remote-first,,,Careers & talent,4,talent_program,,,https://probablygood.org,https://jobs.probablygood.org,Coefficient Giving (ex-Open Philanthropy brand),"EA-aligned career guidance org (guides, job board, 1:1 advising) funded by Coefficient Giving's Effective Giving & Careers Fund.",Remote-first; career advising open globally,high,Whether any team member is Belgium-based,https://coefficientgiving.org/research/how-three-grantees-are-helping-people-find-high-impact-careers/,,
ceps,Centre for European Policy Studies (CEPS),,Brussels,50.848,4.369,AI safety & governance; EU policy (general),2,think_tank,1983,,https://www.ceps.eu,https://www.ceps.eu/vacancies/,,"Major EU think tank; repeat host of Talos/EU Tech Policy fellows on AI governance. General-purpose (not EA), but a key employer for EA-minded EU policy people.",,high,Current AI/tech unit lead,https://forum.effectivealtruism.org/posts/gpEBdMSHmou8ZFv7r,talos:hosts_fellows,BE
epc,European Policy Centre (EPC),,Brussels,50.844,4.373,EU policy (general); AI safety & governance,2,think_tank,1997,,https://www.epc.eu,,,EU-affairs think tank; listed among Talos placement hosts.,,medium,"Which programmes are relevant (tech, health)",https://forum.effectivealtruism.org/posts/CsBGdHTLmxQnbaSap,talos:hosts_fellows,BE
gmf-brussels,German Marshall Fund — Brussels office,,Brussels,50.843,4.371,AI safety & governance; EU policy (general),2,think_tank,,,https://www.gmfus.org,,,US-EU policy think tank; past host of EU Tech Policy fellows (tech & geopolitics programme).,,medium,Hosted EU Tech Policy fellows under Training for Good (predecessor of the Talos fellowship; TfG offline since Nov 2025) — confirm any current Brussels tech-programme presence,https://be.linkedin.com/jobs/view/eu-tech-policy-fellow-at-training-for-good-3257282859,talos:hosts_fellows,BE
fari,FARI — AI for the Common Good Institute (VUB/ULB),,Brussels,50.8503,4.362,AI safety & governance,3,research,,,https://www.fari.brussels,,,Brussels university institute (VUB+ULB) on trustworthy/public-interest AI; runs citizen and policy engagement on AI.,,medium,Whether research overlaps with AI safety as EAs define it,,,BE
leuven-ai,Leuven.AI (KU Leuven Institute for AI),,Leuven,50.877,4.704,AI safety & governance,3,research,,,https://ai.kuleuven.be,,,KU Leuven umbrella AI institute; philosophy dept (e.g. Lode Lauwaert) collaborates with FLI researchers on AI risk topics.,,medium,Which groups do safety-relevant work,https://futureoflife.org/our-work/policy-and-research/,,BE
hera,HERA — EU Health Emergency Preparedness & Response Authority,,Brussels,50.841,4.381,Biosecurity & pandemic preparedness,3,institution,2021,,https://health.ec.europa.eu/hera_en,,,"European Commission authority for health-emergency preparedness (medical countermeasures, threat assessment); the EU's central pandemic-preparedness employer.",,medium,Add an independent source URL; confirm hiring routes relevant to non-EU-officials,,,BE
gha-brussels,Global Health Advocates — Brussels office,,Brussels,50.846,4.36,Global health & development; Biosecurity & pandemic preparedness,3,ngo,,,https://www.ghadvocates.eu,,,"Advocacy NGO (FR/BE) pushing EU policy & funding for global health equity, neglected diseases, pandemic preparedness.",,high,Confirm Brussels secretariat size and current advocacy focus,https://www.lobbyfacts.eu/datacard/global-health-advocates,,BE
dsw-brussels,DSW — Brussels liaison office,,Brussels,50.845,4.364,Global health & development; Biosecurity & pandemic preparedness,3,ngo,,,https://www.dsw.org/en/eu/,,,"German foundation's EU office advocating on global health R&I: neglected tropical diseases, HERA/CEPI support, pandemic preparedness.",,high,Confirm the Brussels office and its global-health advocacy scope,https://www.dsw.org/en/eu/,,BE
itm,Institute of Tropical Medicine (ITM),,Antwerp,51.211,4.399,Global health & development; Biosecurity & pandemic preparedness,3,research,1906,,https://www.itg.be,https://www.itg.be/en/jobs,,World-leading tropical-medicine research & training institute; major Belgian employer in global health science.,,medium,Add an independent source URL; confirm current scale of global-health research employment,,,BE
damiaanactie,Damiaanactie (Action Damien),,Brussels,50.856,4.348,Global health & development,3,ngo,1964,,https://damiaanactie.be,,,"Belgian NGO fighting leprosy, TB and other neglected tropical diseases — thematically close to EA global-health priorities (NTDs, TB), though not EA-evaluated.",,medium,Add an independent source URL; no effectiveness evaluation known — confirm the cause fit holds,,,BE
gaia,GAIA (Global Action in the Interest of Animals),,Brussels (Hopstraat 43),50.847,4.344,Animal welfare & food systems,3,ngo,1992,"Michel Vandenbosch (president, co-founder), Ann De Greef (director)",https://www.gaia.be,,,"Belgium's most influential animal-rights org (since 1992); won constitutional recognition of animal sentience, slaughter-without-stunning bans; co-founder of Eurogroup for Animals. Campaign-driven, not EA-identified.",,high,Whether any EA-aligned funding,https://www.lobbyfacts.eu/datacard/global-action-in-the-interest-of-animals; https://press.gaia.be/en,eurogroup-animals:co_founded,BE
four-paws-eu,FOUR PAWS — European Policy Office,,Brussels (Rue Ducale 29),50.8455,4.3665,Animal welfare & food systems,3,ngo,,,https://www.four-paws.be/about-us/four-paws-in-the-eu,,,"EU lobbying office of the global animal-welfare org (farm, companion, wild animals).",,high,Confirm EU-office staffing and the share of farm-animal campaign work,https://www.four-paws.be/about-us/meet-the-brussels-team,eurogroup-animals:member_of,BE
bite-back,Bite Back vzw,,Antwerp (verify),51.2194,4.4025,Animal welfare & food systems,3,ngo,,,https://www.biteback.org,,,Flemish grassroots animal-rights org known for undercover farm investigations — the investigative material EA campaigns often build on.,,medium,City/address; current status,,,BE
animal-rights-be,Animal Rights (BE/NL),,Belgium + Netherlands (BE office to verify),51,4.5,Animal welfare & food systems,3,ngo,,,https://www.animalrights.nl,,,Cross-border BE/NL org doing undercover investigations and legal action on farm-animal abuse.,,medium,Belgian office location,,,BE
hsi-europe,Humane World for Animals Europe (ex-HSI/Europe),,Brussels,50.8465,4.363,Animal welfare & food systems,3,ngo,,,https://www.humaneworld.org,,,"European office of Humane World for Animals (renamed from HSI, 2025); HSI's farm-animal work has historically received Open Philanthropy support. Brussels office existence: high confidence; funding-for-EU-entity: unverified.",,medium,Brussels address; OP funding for EU entity specifically,,eurogroup-animals:member_of,BE
catf-brussels,Clean Air Task Force — Brussels office,,Brussels,50.8475,4.3685,Climate,2,think_tank,,,https://www.catf.us/europe/,https://www.catf.us/careers/,"Philanthropy incl. EA-aligned climate funds (Founders Pledge Climate Fund, Giving Green recommendation)","Pragmatic climate-tech advocacy NGO (methane, carbon capture, clean firm power); one of Founders Pledge's & Giving Green's top-recommended climate charities — the clearest EA-endorsed climate employer physically in Belgium.",,high,,https://www.catf.us/europe/; https://jobsin.brussels/organisations/clean-air-task-force/,,BE
carbon-gap,Carbon Gap,,Brussels (verify),50.848,4.364,Climate,3,think_tank,,,https://carbongap.org,,,"Carbon-removal policy advocacy for Europe; philanthropically funded, active in Brussels CDR policy circles. Tier/address to verify.",,low,Brussels registration; funders,,,BE
carbon-market-watch,Carbon Market Watch,,Brussels,50.85,4.36,Climate,3,ngo,,,https://carbonmarketwatch.org,,,Watchdog on carbon pricing/markets and corporate climate claims.,,medium,Add an independent source URL; confirm Brussels registration and staff size,,,BE
bellona-europa,Bellona Europa,,Brussels,50.8455,4.369,Climate,3,ngo,,,https://eu.bellona.org,,,"Solutions-oriented climate NGO (CCS, industrial decarbonisation); frequent CATF campaign partner.",,medium,Add an independent source URL; confirm Brussels office and whether the CATF partnership is current,,catf-brussels:campaign_partner,BE
ecf,European Climate Foundation,,Brussels (int'l HQ activities; seat in NL — verify),50.844,4.356,Climate,3,funder_advisor,,,https://europeanclimate.org,https://europeanclimate.org/jobs/,,Major philanthropic re-granter powering much of Europe's climate NGO ecosystem; significant Brussels presence.,,medium,Legal seat vs Brussels office,,,BE
can-europe,Climate Action Network (CAN) Europe,,Brussels,50.849,4.362,Climate,3,ngo,,,https://caneurope.org,,,Europe's largest climate NGO coalition (190+ members); EU climate policy advocacy.,,medium,Add an independent source URL; confirm secretariat size and current campaigns,,,BE
e3g-brussels,E3G — Brussels office,,Brussels,50.8445,4.3675,Climate,3,think_tank,,,https://www.e3g.org,,,Climate diplomacy/politics think tank with a Brussels office.,,medium,Address,,,BE
donorinfo,Donorinfo,,Brussels,50.848,4.355,Effective giving & meta,3,funder_advisor,,,https://donorinfo.be,,,"Independent Belgian foundation publishing transparent financial data on Belgian charities — transparency-focused, though not impact-per-euro analysis like GiveWell.",,medium,,,,BE
iaps,Institute for AI Policy and Strategy (IAPS),,Remote (HQ: Washington DC),,,AI safety & governance,4,think_tank,,,https://www.iaps.ai,https://www.iaps.ai/careers,,"Nonpartisan think tank on advanced-AI policy (compute policy, frontier security, international strategy); runs an AI Policy Fellowship.","VERIFIED: 'fully remote, able to legally hire in most countries'; salary premium for DC/SF/London",high,Confirm the org still hires globally-remote and has no EU-only or US-only restriction,https://www.iaps.ai/careers; https://onthinktanks.org/job/researchers-senior-researchers-artificial-intelligence-ai-policy-and-strategy/,,
rethink-priorities,Rethink Priorities,,Remote (HQ: US-incorporated),,,AI safety & governance; Animal welfare & food systems; Global health & development; Effective giving & meta,4,research,,,https://rethinkpriorities.org,https://careers.rethinkpriorities.org,"Open Philanthropy, Survival and Flourishing Fund, individual donors","EA think tank researching AI governance, animal welfare (incl. invertebrates), global health, and EA movement questions.","VERIFIED: 100% remote, staff in 15 countries, 'welcomes applicants from anywhere in the world'",high,Confirm the org still hires globally-remote and has no EU-only or US-only restriction,https://careers.rethinkpriorities.org/,,
epoch-ai,Epoch AI,,Remote (HQ: distributed),,,AI safety & governance,4,research,,,https://epoch.ai,https://epoch.ai/careers,,"Research org producing data and analysis on AI trends (compute, capabilities, economics) widely used in AI governance.",Remote-first with international team; per-role hiring constraints to verify,medium,Current EU hiring,,,
govai,Centre for the Governance of AI (GovAI),,Remote (HQ: Oxford),,,AI safety & governance,4,research,,,https://www.governance.ai,https://www.governance.ai/careers,,Research institution on AI governance; fellowships and research roles.,Oxford-based with hybrid/remote flexibility for some roles; verify per role,medium,,,,
apart-research,Apart Research,,Remote (HQ: distributed),,,AI safety & governance,4,research,,,https://apartresearch.com,,,Decentralised AI safety research lab; runs global research sprints/hackathons and remote research teams — very accessible entry point.,Remote-first by design; global participation,medium,Paid vs volunteer role mix,,,
bluedot,BlueDot Impact,,Remote (HQ: London),,,AI safety & governance; Biosecurity & pandemic preparedness,4,talent_program,,,https://bluedot.org,,,"Runs the AI Safety Fundamentals and biosecurity courses (originally with Cambridge EA) — the standard on-ramp courses, fully online.",Courses fully remote/global; staff roles London-leaning — verify,medium,,,,
ai-safety-camp,AI Safety Camp,,Remote (HQ: distributed),,,AI safety & governance,4,talent_program,2018,"Remmelt Ellen, Linda Linsefors, Robert Kralisch (organisers)",https://aisafety.camp,,Donations via Manifund; Survival and Flourishing Fund matching (2026),Part-time remote research programme matching aspiring researchers with mentors.,"Fully remote programme, global",medium,"LinkedIn 'Diemen' location appears to be an organiser's personal base, not a registered entity — no KVK/stichting found (Aug 2026); recheck if a Dutch entity ever surfaces",https://aisafety.camp/organizers; https://manifund.org/projects/10th-edition-of-ai-safety-camp; https://forum.effectivealtruism.org/posts/yzBptBogLbN6WmYge/12th-edition-of-ai-safety-camp-fundraiser,,
clr,Center on Long-Term Risk (CLR),,Remote (HQ: London),,,AI safety & governance,4,research,,,https://longtermrisk.org,,,Research on reducing worst-case risks (s-risks) from advanced AI.,"London-based, has offered remote flexibility; verify per role",low,Current hiring & remote policy,,,
metaculus,Metaculus,,Remote (HQ: distributed),,,AI safety & governance; Effective giving & meta,4,company,,,https://www.metaculus.com,,,Forecasting platform used across EA for AI/bio/geopolitical predictions.,Remote team; verify EU hiring,low,Confirm EU-remote hiring and the public-benefit-corporation legal form; add a source URL,,,
80000-hours,"80,000 Hours",,Remote (HQ: London),,,Careers & talent,4,talent_program,,,https://80000hours.org,https://80000hours.org/about/meet-the-team/#vacancies,Open Philanthropy a.o.,"The flagship EA careers org: research-driven career guide, job board, podcast, 1:1 advising. Its job board is the most reliable public indicator of which EA organisations are currently hiring.","London-based, hybrid; advising/job board fully global; some remote roles",medium,"Add a source URL (org is well known, but the entry carries no citation)",,,
hip,High Impact Professionals,,Remote (HQ: distributed),,,Careers & talent,4,talent_program,,,https://www.highimpactprofessionals.org,,,Impact Accelerator Program + Talent Directory for mid/senior professionals transitioning to high-impact work.,Remote org; programmes global and free,high,Confirm the org still hires globally-remote and has no EU-only or US-only restriction,https://www.highimpactprofessionals.org/,,
successif,Successif,,Remote (HQ: distributed),,,Careers & talent; AI safety & governance,4,talent_program,,,https://www.successif.org,,,Career-transition support for mid/senior professionals moving into AI risk work.,Remote; verify current programmes,low,Confirm the org is active and hiring EU-remote; add a source URL,,,
magnify,Magnify Mentoring,,Remote (HQ: distributed),,,Careers & talent,4,talent_program,,,https://www.magnifymentoring.org,,,"Mentoring for women, non-binary and trans people pursuing high-impact careers.","Fully remote, global mentor/mentee pool",medium,,,,
effective-thesis,Effective Thesis,,Remote (HQ: distributed),,,Careers & talent,4,talent_program,,,https://effectivethesis.org,,,Helps students pick high-impact research topics (thesis coaching).,Fully remote/global,medium,Active as of Aug 2026 (Fall 2026 accelerator cohort advertised); founding year and team still unfilled,https://effectivethesis.org/,,
cea,Centre for Effective Altruism,,Remote (HQ: Oxford),,,Community building; Careers & talent,4,community,,,https://www.centreforeffectivealtruism.org,,,"Runs EA Global(x) conferences, the EA Forum, groups support — the movement's infrastructure org, incl. support for groups like yours.",Oxford/remote hybrid; hires internationally for many roles,medium,,,,
aim,Ambitious Impact / Charity Entrepreneurship (AIM),,Remote (HQ: London),,,Careers & talent; Global health & development; Animal welfare & food systems,4,talent_program,,,https://www.charityentrepreneurship.com,,,"Incubator that launches new effective charities (LEEP, FEM, etc.); its Incubation Program is the EA route to founding an org.",London-based programme with in-person components; incubated charities are often remote,medium,,,,
gwwc,Giving What We Can,,Remote (HQ: distributed),,,Effective giving & meta,4,funder_advisor,,,https://www.givingwhatwecan.org,,,The 10% Pledge org; effective-giving education and donation platform (Effectief Geven's international sister network hub).,"Fully remote, hires internationally",high,Confirm the org still hires globally-remote and has no EU-only or US-only restriction,https://www.effectiefgeven.be/ons-ecosysteem,,
givewell,GiveWell,,Remote (HQ: Oakland),,,Global health & development; Effective giving & meta,4,funder_advisor,,,https://www.givewell.org,https://www.givewell.org/about/jobs,,The charity evaluator behind Effectief Geven's recommendations.,US remote-friendly but roles typically require US-hours overlap — hard from CET; verify per role,medium,,,,
founders-pledge,Founders Pledge,,Remote (HQ: London),,,Effective giving & meta; Climate,4,funder_advisor,,,https://www.founderspledge.com,,,Gets entrepreneurs to pledge equity to effective charities; runs research incl. the Climate Fund that recommends CATF.,London/Berlin/US offices + some remote; verify EU remote roles,medium,,,,
tlycs,The Life You Can Save,,Remote (HQ: distributed),,,Effective giving & meta; Global health & development,4,funder_advisor,,,https://www.thelifeyoucansave.org,,,Peter Singer-founded effective-giving org.,Remote; small team; verify hiring,low,Confirm EU-remote hiring and current recommendation methodology; add a source URL,,,
doneer-effectief,Doneer Effectief,Stichting Doneer Effectief,Amsterdam,52.366,4.897,Effective giving & meta,1,funder_advisor,2022,"Andrea de Wildt (founder, now advisor), Bram Schaper (director), Agathe Doornenbal (board chair)",https://doneereffectief.nl,,"Coefficient Giving (formerly Open Philanthropy), ASML Foundation, individual donors",Dutch effective-giving platform (ANBI) channelling tax-deductible donations to GiveWell/Founders Pledge/ACE-recommended charities; raised €8M in 2025 (+42%) and ~€24M cumulatively since its 2022 founding. Sister organisation of Effectief Geven (BE) and Effektiv Spenden (DE).,,high,Careers page 404s — check for vacancies via LinkedIn; confirm cumulative donation totals,https://doneereffectief.nl; https://doneereffectief.nl/over-ons/; https://www.openphilanthropy.org/grants/doneer-effectief-general-support/,effectief-geven:sister_org,NL
anima-international,Anima International,,Remote (HQ: distributed (Europe)),,,Animal welfare & food systems,4,ngo,,,https://animainternational.org,https://animainternational.org/jobs,,Coalition of European farmed-animal orgs; corporate campaigns and investigations.,VERIFIED: advertises roles as 'remote worldwide',high,Confirm the org still hires globally-remote and has no EU-only or US-only restriction,https://forum.effectivealtruism.org/posts/Lsq6fdek6k6FdhxWZ,,
ace,Animal Charity Evaluators,,Remote (HQ: distributed),,,Animal welfare & food systems; Effective giving & meta,4,funder_advisor,,,https://animalcharityevaluators.org,,,The 'GiveWell for animals': evaluates and recommends animal charities.,Fully remote; historically hires internationally,medium,,,,
faunalytics,Faunalytics,,Remote (HQ: distributed (NA)),,,Animal welfare & food systems,4,research,,,https://faunalytics.org,,,Research library + original studies for animal advocates.,"Remote, North-America-leaning; timezone overlap needed",medium,,,,
aac,Animal Advocacy Careers,,Remote (HQ: distributed),,,Animal welfare & food systems; Careers & talent,4,talent_program,,,https://www.animaladvocacycareers.org,,,"Career advice, courses and job board specifically for animal advocacy.","Fully remote services, global",medium,,,,
shrimp-welfare,Shrimp Welfare Project,,Remote (HQ: distributed),,,Animal welfare & food systems,4,ngo,,,https://www.shrimpwelfareproject.org,,,"AIM-incubated charity on shrimp welfare (huge numbers, extremely neglected).","Remote, distributed team",medium,,,,
wild-animal-initiative,Wild Animal Initiative,,Remote (HQ: US),,,Animal welfare & food systems,4,research,,,https://www.wildanimalinitiative.org,,,Research on wild animal welfare.,US-based remote; intl. hiring per role — verify,low,Confirm EU-remote hiring; add a source URL,,,
thl-uk,The Humane League UK,,Remote (HQ: UK),,,Animal welfare & food systems,4,ngo,,,https://thehumaneleague.org.uk,,,Corporate campaigns for farmed animals (ACE top charity lineage).,Remote within the UK only — likely NOT hireable from Belgium; listed for completeness,medium,Confirm UK-only hiring,,,
